Number-of-splits,Total-length,Segment-length,RMSE,Max-Point-Error,Model-type,Tile-ID,Lane-Group-ID,Lane-ID,Lane-Sub-Segment-ID
2.0,312.31966910394476,155.0065740078306,0.027058968804643764,0.06718214640238784,1.0,3.0913458E8,3.8280041372E10,4.0,1.0
2.0,312.31966910394476,156.39301786772296,0.02739266991257692,0.07229250026887257,1.0,3.0913458E8,3.8280041372E10,4.0,2.0
3.0,311.2386684543178,102.73987727828752,0.042361464748930926,0.08192729153824985,1.0,3.0913458E8,3.8280041372E10,5.0,1.0
3.0,311.2386684543178,103.65015796381631,0.029367491283915546,0.08972960693376424,2.0,3.0913458E8,3.8280041372E10,5.0,2.0
3.0,311.2386684543178,102.90055567456562,0.017247420197126405,0.059675604335552634,1.0,3.0913458E8,3.8280041372E10,5.0,3.0
6.0,309.9153666992272,49.19233434844479,0.021369522953541033,0.06328471516201262,1.0,3.0913458E8,3.8280041372E10,6.0,1.0
6.0,309.9153666992272,51.253119392368674,0.02308413841736454,0.05269356602616426,1.0,3.0913458E8,3.8280041372E10,6.0,2.0
6.0,309.9153666992272,50.984105495442435,0.02247066113564604,0.07127910477466386,2.0,3.0913458E8,3.8280041372E10,6.0,3.0
6.0,309.9153666992272,51.11024325726545,0.027085763983451912,0.06997934626838287,1.0,3.0913458E8,3.8280041372E10,6.0,4.0
6.0,309.9153666992272,50.81224156305002,0.01864649669060656,0.052249849256895686,1.0,3.0913458E8,3.8280041372E10,6.0,5.0
6.0,309.9153666992272,51.85835330553391,0.04881391603604101,0.09734914931334515,1.0,3.0913458E8,3.8280041372E10,6.0,6.0
2.0,41.349368273488544,21.3069383391772,0.019774301699759998,0.050378244556450215,2.0,3.0913458E8,3.8270086131E10,1.0,1.0
2.0,41.349368273488544,19.388408308934707,0.018295036206983698,0.04663506658415857,2.0,3.0913458E8,3.8270086131E10,1.0,2.0
2.0,33.290005866191464,17.517360401143367,0.02714677873036115,0.055126300955006854,2.0,3.0913458E8,3.8270086131E10,2.0,1.0
2.0,33.290005866191464,15.240968180602273,0.01595818832176255,0.035053550367665255,2.0,3.0913458E8,3.8270086131E10,2.0,2.0
2.0,25.22910913617064,13.264185080749803,0.02532468406305667,0.06890764794742879,2.0,3.0913458E8,3.8270086131E10,3.0,1.0
2.0,25.22910913617064,11.323321971188488,0.022797720570672905,0.05275795951183874,2.0,3.0913458E8,3.8270086131E10,3.0,2.0
2.0,181.84499846358977,88.62287870865643,0.007377528026706382,0.018012620028457604,1.0,3.0913458E8,8.070065328E9,1.0,1.0
